進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
114/01/21,偉順,偉順入,001298,-3,50BV30,短套,1/2 ×,1-1/4,× 12R,                     200 ,1K,改反R一溝,114/02/24,杰霖,114002,,,,,,,,,,,,,
114/01/22,仁廷,昇達鑫入,20250120011,-1,6140,短套,3/4 ×,15/16,× 12R,"                 5,094 ",31+1B,正R,,,,,,,,,,,,,,,,
114/01/22,仁廷,昇達鑫入,20250120011,-2,6140,短套,3/4 ×,22,× 6R,"                 4,160 ",26B,正R,,,,,,,,,,,,,,,,
114/01/22,仁廷,昇達鑫入,20250120011,-3,6140,短套,3/4 ×,7/8,× 12R,"                 3,096 ",19+1B,正R,,,,,,,,,,,,,,,,
114/01/22,仁廷,昇達鑫入,20250120011,-4,6140,短套,3/4 ×,23,× 6R,"                 4,094 ",25+1B,正R,,,,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-1,50BV30,短套,1/2 ×,17,× 6R,"                 1,100 ",2B,直型中雙溝,114/02/06,杰霖,整批急件??,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-2,50BV30,短套,1/2 ×,27,× 6R,"                 1,000 ",5B,反R一溝,114/02/19,杰霖,,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-3,50BV30,短套,1/2 ×,27,× 6R,"                 1,200 ",6B,暫放不加工,,,,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-4,50BV30,短套,1/2 ×,30,× 6R,"                 1,050 ",7B,反R一溝,114/02/19,杰霖,,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-5,50BV30,短套,1/2 ×,30,× 6R,"                 1,050 ",7B,114022,,,,?? 訂單轉移,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-6,50BV30,短套,1/2 ×,"1""",× 12R,                     200 ,5B,反R一溝,114/02/19,杰霖,,,,,,,,,,,,,,
114/01/22,偉順,昇達鑫入,20250120004,-7,50BV30,短套,1/2 ×,"1""",× 12R,"                 1,000 ",,直型大雙溝 #PGM,,偉順,,,,,,,,,,,,,,
114/01/22,杰毅,昇達鑫入,2025012005,-1,50BV30,HBS,1/2 ×,10,× 6R,"                 3,150 ",7B,正R雙溝珠,,,,? 出貨完畢,,,"            3,135 ",,,,,,,,,
114/01/22,仁廷,仁廷入,0303,-1,50BV30,接頭,1/2 ×,3/4,,"               11,200 ",4K,雙頭,,,,,,,,,,,,,,,,
114/01/23,維興,三仕入,1140122119,-1,50BV30,S,1/2 ×,E12,,"                 1,500 ",3B,S.92,,,,,,,,,,,,,,,,
114/01/23,維興,三仕入,1140122119,-2,50BV30,S,1/2 ×,E18,,"                 1,500 ",3B,S.92,,,,,,,,,,,,,,,,
114/01/23,偉順,三仕入,1140122114,-1,50BV30,短套,1/2 ×,E12,,"                 1,500 ",3B,正R板溝,114/02/12,杰霖,114005,? 出貨完畢,,,,,,,,,,,,
114/01/23,偉順,三仕入,1140122114,-2,50BV30,短套,1/2 ×,E14,,"                 1,500 ",3B,正R板溝,114/02/24,杰霖,114005,? 出貨完畢,,,,,,,,,,,,
114/01/23,偉順,三仕入,1140122114,-3,50BV30,短套,1/2 ×,E16,,                     600 ,1B,正R板溝,,偉順,114005,? 出貨完畢,,,,,,,,,,,,
114/01/23,偉順,三仕入,1140122114,-4,50BV30,短套,1/2 ×,E16,,"                 1,400 ",3B,正R板溝,114/02/24,杰霖,114005,,,,,,,,,,,,,
114/01/23,偉順,三仕入,1140122114,-5,50BV30,短套,1/2 ×,E18,,"                 1,500 ",3B,正R板溝,114/02/12,杰霖,114005,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-13,50BV30,短套,1/2 ×,24,× 6R,"                 1,250 ",5B,RO雙溝,,,,? 出貨完畢,,,,,,,,,,,,
114/02/06,向得行,三仕入,1140205706,-1,50BV30,短套,1/2 ×,30,× 6R,"                 3,000 ",20B,反R,,,,? 出貨完畢,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-2,50BV30,短套,1/2 ×,14,× 6R,"                 1,000 ",2B,RO下雙溝,,,,? 出貨完畢,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-3,50BV30,短套,1/2 ×,14,× 12R,"                 1,000 ",2B,RO,,,,? 出貨完畢,,,,,,,,,,,,
113/10/11,杰毅,興信入,AD224091301-03,-5,50BV30,短套,3/4 ×,35,× 6R,"                 2,952 ",5K,1140327,,,,?? 訂單轉移,,,,,,,,,,,,
114/04/14,杰毅,庫存發出入,20250411,-1,50BV30,短套,3/4 ×,24,× 6R,"                 1,617 ",,RO,,X,庫存??,???車好暫不出,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-4,50BV30,短套,3/4 ×,24,× 6R,"                 1,000 ",27B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-5,50BV30,短套,3/4 ×,26,× 6R,"                 1,000 ",25B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/11/24,杰毅,庫存發出入,1141121,-1,50BV30,短套,3/4 ×,19,× 6R,"                 1,506 ",,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-6,50BV30,短套,1/2 ×,20,× 6R,"                 1,050 ",3B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/07,杰毅,興信入,1140206,-7,50BV30,短套,1/2 ×,24,× 6R,"                 1,500 ",6B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/06,六宏,昇達鑫入,20250206003,-1,440,長汽,1/2 ×,30,× 6R,"                 3,200 ",40B,GS,,,3月再出貨,? 出貨完畢,5K,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-1,50BV30,短套,1/2 ×,30,× 12R,"                 1,200 ",8B,直型小雙溝,,偉順,114006,,,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-2,50BV30,短套,1/2 ×,1-1/8,× 12R,"                 1,620 ",9B,直型大雙溝 #PGM,,偉順,114006,,,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-3,50BV30,短套,1/2 ×,1-1/16,× 12R,                     800 ,10B,直型中雙溝,114/03/05,杰霖,114006,? 出貨完畢,,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-4,50BV30,短套,1/2 ×,1-1/16,× 12R,"                 1,300 ",,直型小雙溝,,偉順,114006,,,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-5,50BV30,短套,1/2 ×,23,× 12R,"                 1,200 ",8B,直型中雙溝,114/03/05,杰霖,114006,,,,,,,,,,,,,
114/02/06,偉順,昇達鑫入,20250206004,-6,50BV30,短套,1/2 ×,23,× 12R,"                 1,200 ",8B,反R,,偉順,114006,,,,,,,,,,,,,
114/02/10,仁廷,智旺入,0281,-1,6140,萬向母,1/2 ×,-,,"               41,900 ",31K,車R,,,,,,,,,,,,,,,,
114/02/08,長金,智旺入,WP008722,-1,-,雙向,1/2 ×,19,× 21,"                 1,019 ",1K,板溝,,,,? 出貨完畢,,,                990 ,,,,,,,,,
114/02/08,長金,智旺入,WP008722,-2,-,雙向,1/2 ×,19,× 21,"                 6,081 ",6K,板溝,,,,? 出貨完畢,,,"            6,110 ",,,,,,,,,
114/02/08,長金,智旺入,WP008722,-3,50BV30,汽動萬套,3/8 ×,1/2,,"                 5,114 ",1K,,,,,,,,,,,,,,,,,
114/02/10,向得行,昇達鑫入,20250206012,-1,50BV30,短套,1/2 ×,28,× 6R,"                 1,120 ",7B,車破反R,#4408,,,? 出貨完畢,,,"            1,114 ",,,,,,,,,
114/02/10,杰毅,昇達鑫入,20250206001,-1,50BV30,短套,1/2 ×,20,× 齒,                     450 ,1B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/10,杰毅,昇達鑫入,20250206001,-2,50BV30,短套,1/2 ×,21,× 齒,                     350 ,1B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/02/10,六宏,昇達鑫入,20250206002,-1,50BV30,短套,1/2 ×,27,× 12R,                     200 ,1B,反R,,,,? 出貨完畢,1K,,                198 ,,,,,,,,,
114/02/10,六宏,昇達鑫入,20250206002,-2,50BV30,短套,1/2 ×,28,× 6R,                     360 ,2B,反R,,,,? 出貨完畢,,,,,,,,,,,,
114/02/10,鉅朋,鉅朋入,001904,-1,50BV30,長汽,1/2 ×,1-1/8,× 6R,                     229 ,1K,車汽動溝四角外徑,,璉寰,,? 出貨完畢,,,,,,,,,,,,
